loaded dump dir: ./src/Benchmark/RegressionCases/perf  (1402 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
15365                                             min=  147  p50=  151  p95=  201  avg=  153  max=  201  (us, n=20)
15366                                             min=  148  p50=  154  p95=  246  avg=  167  max=  246  (us, n=20)
15367                                             min=  146  p50=  152  p95=  255  avg=  164  max=  255  (us, n=20)
15368                                             min=  144  p50=  150  p95=  215  avg=  160  max=  215  (us, n=20)
15369                                             min=  148  p50=  151  p95=  236  avg=  165  max=  236  (us, n=20)
156                                               min=  924  p50= 1040  p95= 1318  avg= 1049  max= 1318  (us, n=20)
1621                                              min=   75  p50=   94  p95=  161  avg=   93  max=  161  (us, n=20)
16468                                             min=  149  p50=  157  p95=  245  avg=  172  max=  245  (us, n=20)
16469                                             min=  150  p50=  156  p95=  222  avg=  168  max=  222  (us, n=20)
16470                                             min=  151  p50=  162  p95=  231  avg=  171  max=  231  (us, n=20)
16471                                             min=  150  p50=  154  p95=  208  avg=  165  max=  208  (us, n=20)
16472                                             min=  153  p50=  211  p95=  266  avg=  205  max=  266  (us, n=20)
16473                                             min=  159  p50=  269  p95=  274  avg=  246  max=  274  (us, n=20)
16474                                             min=  153  p50=  244  p95=  266  avg=  237  max=  266  (us, n=20)
16475                                             min=  152  p50=  164  p95=  269  avg=  180  max=  269  (us, n=20)
16476                                             min=  152  p50=  264  p95=  285  avg=  230  max=  285  (us, n=20)
16477                                             min=  251  p50=  270  p95=  278  avg=  268  max=  278  (us, n=20)
16478                                             min=  230  p50=  268  p95=  278  avg=  265  max=  278  (us, n=20)
16479                                             min=  151  p50=  157  p95=  240  avg=  182  max=  240  (us, n=20)
1648                                              min=   60  p50=   61  p95=   80  avg=   62  max=   80  (us, n=20)
1659                                              min=   81  p50=  104  p95=  148  avg=  103  max=  148  (us, n=20)
1664                                              min=   76  p50=   77  p95=  117  avg=   85  max=  117  (us, n=20)
1690                                              min=   80  p50=  108  p95=  126  avg=  108  max=  126  (us, n=20)
1693                                              min=   88  p50=   90  p95=   98  avg=   90  max=   98  (us, n=20)
17326                                             min=  199  p50=  213  p95=  331  avg=  229  max=  331  (us, n=20)
17327                                             min=  149  p50=  150  p95=  244  avg=  163  max=  244  (us, n=20)
17328                                             min=  149  p50=  190  p95=  273  avg=  199  max=  273  (us, n=20)
17329                                             min=  149  p50=  150  p95=  203  avg=  155  max=  203  (us, n=20)
17330                                             min=  148  p50=  149  p95=  221  avg=  161  max=  221  (us, n=20)
17331                                             min=  145  p50=  175  p95=  434  avg=  193  max=  434  (us, n=20)
17332                                             min=  148  p50=  149  p95=  211  avg=  155  max=  211  (us, n=20)
17333                                             min=  147  p50=  149  p95=  226  avg=  161  max=  226  (us, n=20)
