loaded dump dir: ./src/Benchmark/RegressionCases/coverage  (803 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
32                                                min= 4645  p50= 5722  p95= 7049  avg= 5730  max= 7049  (us, n=20)
321                                               min=38762  p50=42862  p95=47633  avg=43276  max=47633  (us, n=20)
322                                               min= 2110  p50= 2702  p95= 3655  avg= 2762  max= 3655  (us, n=20)
323                                               min= 2176  p50= 2571  p95= 3690  avg= 2597  max= 3690  (us, n=20)
324                                               min=  908  p50= 1143  p95= 1642  avg= 1146  max= 1642  (us, n=20)
325                                               min=  707  p50=  913  p95= 1183  avg=  903  max= 1183  (us, n=20)
326                                               min= 6096  p50= 7508  p95= 8858  avg= 7581  max= 8858  (us, n=20)
327                                               min= 7167  p50= 8147  p95= 9528  avg= 8140  max= 9528  (us, n=20)
328                                               min= 2409  p50= 3181  p95= 4107  avg= 3147  max= 4107  (us, n=20)
329                                               min= 2289  p50= 2816  p95= 3937  avg= 2909  max= 3937  (us, n=20)
33                                                min= 1153  p50= 1568  p95= 2038  avg= 1559  max= 2038  (us, n=20)
330                                               min=  907  p50= 1211  p95= 1617  avg= 1202  max= 1617  (us, n=20)
331                                               min= 2329  p50= 3119  p95= 4154  avg= 3052  max= 4154  (us, n=20)
332                                               min= 7902  p50=10611  p95=11708  avg=10397  max=11708  (us, n=20)
333                                               min= 8046  p50= 8899  p95= 9780  avg= 8790  max= 9780  (us, n=20)
334                                               min= 2451  p50= 3468  p95= 4233  avg= 3354  max= 4233  (us, n=20)
335                                               min= 2817  p50= 3441  p95= 3739  avg= 3310  max= 3739  (us, n=20)
336                                               min= 1022  p50= 1348  p95= 1983  avg= 1357  max= 1983  (us, n=20)
337                                               min=  747  p50= 1097  p95= 1430  avg= 1042  max= 1430  (us, n=20)
338                                               min= 6678  p50= 8385  p95= 8852  avg= 8239  max= 8852  (us, n=20)
339                                               min= 2748  p50= 3294  p95= 3845  avg= 3274  max= 3845  (us, n=20)
34                                                min= 1937  p50= 2818  p95= 3370  avg= 2700  max= 3370  (us, n=20)
340                                               min= 2352  p50= 3353  p95= 4106  avg= 3180  max= 4106  (us, n=20)
343                                               min= 7079  p50= 8320  p95= 8976  avg= 8213  max= 8976  (us, n=20)
344                                               min= 2336  p50= 3197  p95= 3586  avg= 3131  max= 3586  (us, n=20)
348                                               min= 6449  p50= 8543  p95= 9677  avg= 8387  max= 9677  (us, n=20)
35                                                min= 7118  p50= 7940  p95= 9294  avg= 7990  max= 9294  (us, n=20)
350                                               min= 3921  p50= 4854  p95= 5121  avg= 4769  max= 5121  (us, n=20)
351                                               min= 2969  p50= 3849  p95= 4248  avg= 3796  max= 4248  (us, n=20)
352                                               min= 1578  p50= 1772  p95= 1985  avg= 1764  max= 1985  (us, n=20)
354                                               min= 1971  p50= 2583  p95= 3307  avg= 2589  max= 3307  (us, n=20)
355                                               min= 1868  p50= 2098  p95= 2624  avg= 2123  max= 2624  (us, n=20)
356                                               min=10004  p50=11621  p95=15054  avg=11865  max=15054  (us, n=20)
357                                               min= 1926  p50= 2315  p95= 3513  avg= 2467  max= 3513  (us, n=20)
358                                               min= 7378  p50= 8944  p95=10970  avg= 9047  max=10970  (us, n=20)
359                                               min= 1835  p50= 2202  p95= 3107  avg= 2242  max= 3107  (us, n=20)
36                                                min=  162  p50=  169  p95=  305  avg=  197  max=  305  (us, n=20)
360                                               min= 1803  p50= 2352  p95= 3370  avg= 2385  max= 3370  (us, n=20)
36054                                             min= 7650  p50= 9346  p95=11222  avg= 9220  max=11222  (us, n=20)
361                                               min= 1863  p50= 2214  p95= 2843  avg= 2210  max= 2843  (us, n=20)
362                                               min= 2010  p50= 2272  p95= 2933  avg= 2338  max= 2933  (us, n=20)
363                                               min=10666  p50=12461  p95=16531  avg=13017  max=16531  (us, n=20)
364                                               min= 1849  p50= 2269  p95= 3202  avg= 2328  max= 3202  (us, n=20)
365                                               min= 9500  p50=10953  p95=13518  avg=10990  max=13518  (us, n=20)
366                                               min= 8999  p50=10518  p95=13055  avg=10520  max=13055  (us, n=20)
367                                               min= 2488  p50= 2829  p95= 3594  avg= 2913  max= 3594  (us, n=20)
368                                               min= 3203  p50= 4766  p95= 6724  avg= 4695  max= 6724  (us, n=20)
369                                               min=97934  p50=110396  p95=121537  avg=110335  max=121537  (us, n=20)
37                                                min=  961  p50= 1049  p95= 1638  avg= 1130  max= 1638  (us, n=20)
370                                               min=43674  p50=49979  p95=54006  avg=49630  max=54006  (us, n=20)
371                                               min=47133  p50=51308  p95=60258  avg=51930  max=60258  (us, n=20)
372                                               min=50852  p50=53919  p95=62441  avg=54778  max=62441  (us, n=20)
