loaded dump dir: .\src\Benchmark\RegressionCases\coverage  (803 samples)  iters=1

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
355                                               min= 8246  p50= 8246  p95= 8246  avg= 8246  max= 8246  (us, n=1)
356                                               min= 9488  p50= 9488  p95= 9488  avg= 9488  max= 9488  (us, n=1)
357                                               min= 9320  p50= 9320  p95= 9320  avg= 9320  max= 9320  (us, n=1)
358                                               min= 8713  p50= 8713  p95= 8713  avg= 8713  max= 8713  (us, n=1)
359                                               min= 9183  p50= 9183  p95= 9183  avg= 9183  max= 9183  (us, n=1)
36                                                min=  163  p50=  163  p95=  163  avg=  163  max=  163  (us, n=1)
360                                               min= 9026  p50= 9026  p95= 9026  avg= 9026  max= 9026  (us, n=1)
36054                                             min= 8906  p50= 8906  p95= 8906  avg= 8906  max= 8906  (us, n=1)
361                                               min= 8636  p50= 8636  p95= 8636  avg= 8636  max= 8636  (us, n=1)
362                                               min= 8191  p50= 8191  p95= 8191  avg= 8191  max= 8191  (us, n=1)
363                                               min=17476  p50=17476  p95=17476  avg=17476  max=17476  (us, n=1)
364                                               min= 8067  p50= 8067  p95= 8067  avg= 8067  max= 8067  (us, n=1)
365                                               min= 8466  p50= 8466  p95= 8466  avg= 8466  max= 8466  (us, n=1)
366                                               min= 9524  p50= 9524  p95= 9524  avg= 9524  max= 9524  (us, n=1)
367                                               min= 2376  p50= 2376  p95= 2376  avg= 2376  max= 2376  (us, n=1)
368                                               min= 3102  p50= 3102  p95= 3102  avg= 3102  max= 3102  (us, n=1)
369                                               min=128593  p50=128593  p95=128593  avg=128593  max=128593  (us, n=1)
37                                                min= 1892  p50= 1892  p95= 1892  avg= 1892  max= 1892  (us, n=1)
370                                               min=81728  p50=81728  p95=81728  avg=81728  max=81728  (us, n=1)
371                                               min=84512  p50=84512  p95=84512  avg=84512  max=84512  (us, n=1)
372                                               min=118474  p50=118474  p95=118474  avg=118474  max=118474  (us, n=1)
37209                                             min= 4212  p50= 4212  p95= 4212  avg= 4212  max= 4212  (us, n=1)
