loaded dump dir: .\src\Benchmark\RegressionCases\perf  (1402 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
11949                                             min=  157  p50=  159  p95=  226  avg=  170  max=  226  (us, n=20)
1195                                              min=  558  p50=  624  p95=  711  avg=  629  max=  711  (us, n=20)
11950                                             min=  160  p50=  162  p95=  178  avg=  164  max=  178  (us, n=20)
11951                                             min=  159  p50=  160  p95=  177  avg=  161  max=  177  (us, n=20)
11952                                             min=  157  p50=  159  p95=  205  avg=  164  max=  205  (us, n=20)
11954                                             min=13212  p50=13780  p95=14567  avg=13776  max=14567  (us, n=20)
11955                                             min=13148  p50=13853  p95=14360  avg=13803  max=14360  (us, n=20)
11956                                             min=12931  p50=13742  p95=14300  avg=13717  max=14300  (us, n=20)
11957                                             min=13113  p50=13596  p95=14182  avg=13618  max=14182  (us, n=20)
11958                                             min=13182  p50=13929  p95=15183  avg=13934  max=15183  (us, n=20)
11959                                             min=13146  p50=13919  p95=14744  avg=13847  max=14744  (us, n=20)
1196                                              min=  604  p50=  656  p95=  899  avg=  687  max=  899  (us, n=20)
11960                                             min=12765  p50=13507  p95=14491  avg=13502  max=14491  (us, n=20)
11961                                             min=12645  p50=13447  p95=14103  avg=13346  max=14103  (us, n=20)
1197                                              min=  537  p50=  603  p95=  689  avg=  614  max=  689  (us, n=20)
1198                                              min=  603  p50=  668  p95=  723  avg=  663  max=  723  (us, n=20)
1199                                              min=  544  p50=  643  p95=  734  avg=  643  max=  734  (us, n=20)
1200                                              min=  394  p50=  642  p95=  697  avg=  630  max=  697  (us, n=20)
1201                                              min=  416  p50=  643  p95=  707  avg=  578  max=  707  (us, n=20)
1202                                              min=  619  p50=  725  p95=  920  avg=  734  max=  920  (us, n=20)
1203                                              min=  661  p50=  705  p95=  775  avg=  707  max=  775  (us, n=20)
1204                                              min=  663  p50=  721  p95=  765  avg=  714  max=  765  (us, n=20)
1205                                              min=  443  p50=  711  p95=  748  avg=  672  max=  748  (us, n=20)
1206                                              min=  676  p50=  717  p95=  770  avg=  717  max=  770  (us, n=20)
1207                                              min=  630  p50=  716  p95=  760  avg=  712  max=  760  (us, n=20)
1208                                              min=  453  p50=  713  p95=  984  avg=  717  max=  984  (us, n=20)
1209                                              min=  709  p50=  758  p95=  874  avg=  757  max=  874  (us, n=20)
1210                                              min=  657  p50=  727  p95=  748  avg=  720  max=  748  (us, n=20)
1211                                              min=  694  p50=  749  p95=  784  avg=  740  max=  784  (us, n=20)
1212                                              min=  674  p50=  721  p95=  958  avg=  767  max=  958  (us, n=20)
1213                                              min=  671  p50=  700  p95=  756  avg=  705  max=  756  (us, n=20)
1214                                              min=  572  p50=  727  p95=  794  avg=  715  max=  794  (us, n=20)
1215                                              min=  680  p50=  730  p95=  787  avg=  726  max=  787  (us, n=20)
1216                                              min=  445  p50=  719  p95=  820  avg=  697  max=  820  (us, n=20)
1217                                              min=  687  p50=  729  p95= 1033  avg=  793  max= 1033  (us, n=20)
1218                                              min=  654  p50=  729  p95=  779  avg=  726  max=  779  (us, n=20)
1219                                              min=  470  p50=  721  p95=  867  avg=  699  max=  867  (us, n=20)
1220                                              min=  672  p50=  709  p95=  754  avg=  708  max=  754  (us, n=20)
1221                                              min=  673  p50=  729  p95=  861  avg=  738  max=  861  (us, n=20)
1222                                              min=  451  p50=  728  p95=  800  avg=  718  max=  800  (us, n=20)
1223                                              min=  680  p50=  720  p95=  781  avg=  721  max=  781  (us, n=20)
1224                                              min=  680  p50=  709  p95=  755  avg=  711  max=  755  (us, n=20)
1225                                              min=  682  p50=  738  p95=  774  avg=  730  max=  774  (us, n=20)
1226                                              min=  676  p50=  713  p95=  768  avg=  716  max=  768  (us, n=20)
1227                                              min=  706  p50=  777  p95=  901  avg=  776  max=  901  (us, n=20)
1228                                              min=  446  p50=  727  p95=  951  avg=  713  max=  951  (us, n=20)
1229                                              min=  685  p50=  711  p95= 1037  avg=  753  max= 1037  (us, n=20)
1230                                              min=  601  p50=  714  p95=  774  avg=  709  max=  774  (us, n=20)
1231                                              min=  693  p50=  736  p95=  922  avg=  748  max=  922  (us, n=20)
1232                                              min=  603  p50=  747  p95= 1083  avg=  773  max= 1083  (us, n=20)
1233                                              min=  633  p50=  731  p95=  788  avg=  711  max=  788  (us, n=20)
1234                                              min=  535  p50=  715  p95=  783  avg=  709  max=  783  (us, n=20)
1235                                              min=  443  p50=  695  p95=  756  avg=  650  max=  756  (us, n=20)
1236                                              min=  658  p50=  694  p95=  997  avg=  735  max=  997  (us, n=20)
1237                                              min=  677  p50=  740  p95= 1017  avg=  785  max= 1017  (us, n=20)
1238                                              min=  606  p50=  665  p95=  793  avg=  678  max=  793  (us, n=20)
1239                                              min=  593  p50=  684  p95=  844  avg=  692  max=  844  (us, n=20)
1240                                              min=  657  p50=  705  p95=  790  avg=  706  max=  790  (us, n=20)
1241                                              min=  434  p50=  758  p95= 1063  avg=  750  max= 1063  (us, n=20)
1242                                              min=  481  p50=  707  p95=  874  avg=  705  max=  874  (us, n=20)
1243                                              min=  438  p50=  683  p95=  734  avg=  601  max=  734  (us, n=20)
1244                                              min=  428  p50=  747  p95=  890  avg=  677  max=  890  (us, n=20)
1245                                              min=  650  p50=  703  p95=  806  avg=  713  max=  806  (us, n=20)
1246                                              min=  683  p50=  719  p95=  884  avg=  724  max=  884  (us, n=20)
1247                                              min=  670  p50=  706  p95=  911  avg=  720  max=  911  (us, n=20)
1248                                              min=  672  p50=  711  p95=  883  avg=  726  max=  883  (us, n=20)
13226                                             min=  169  p50=  176  p95=  191  avg=  176  max=  191  (us, n=20)
13227                                             min=  164  p50=  168  p95=  186  avg=  169  max=  186  (us, n=20)
13228                                             min=  162  p50=  164  p95=  199  avg=  167  max=  199  (us, n=20)
13229                                             min=  160  p50=  162  p95=  173  avg=  163  max=  173  (us, n=20)
13230                                             min=  158  p50=  159  p95=  171  avg=  160  max=  171  (us, n=20)
13231                                             min=  155  p50=  157  p95=  165  avg=  157  max=  165  (us, n=20)
13232                                             min=  154  p50=  154  p95=  163  avg=  156  max=  163  (us, n=20)
13233                                             min=  152  p50=  154  p95=  169  avg=  155  max=  169  (us, n=20)
13234                                             min=  151  p50=  153  p95=  160  avg=  153  max=  160  (us, n=20)
13235                                             min=  150  p50=  151  p95=  172  avg=  154  max=  172  (us, n=20)
13236                                             min=  149  p50=  150  p95=  301  avg=  163  max=  301  (us, n=20)
13237                                             min=  147  p50=  148  p95=  183  avg=  152  max=  183  (us, n=20)
1356                                              min=  574  p50=  661  p95=  856  avg=  667  max=  856  (us, n=20)
1357                                              min=  372  p50=  648  p95=  788  avg=  620  max=  788  (us, n=20)
1358                                              min=  566  p50=  658  p95=  758  avg=  657  max=  758  (us, n=20)
1360                                              min=  424  p50=  644  p95=  770  avg=  636  max=  770  (us, n=20)
14336                                             min=  161  p50=  163  p95=  200  avg=  165  max=  200  (us, n=20)
14337                                             min=  159  p50=  160  p95=  209  avg=  163  max=  209  (us, n=20)
14338                                             min=  157  p50=  158  p95=  162  avg=  157  max=  162  (us, n=20)
14339                                             min=  152  p50=  154  p95=  172  avg=  155  max=  172  (us, n=20)
14340                                             min=  151  p50=  152  p95=  183  avg=  153  max=  183  (us, n=20)
14341                                             min=  149  p50=  151  p95=  251  avg=  156  max=  251  (us, n=20)
14342                                             min=  148  p50=  149  p95=  162  avg=  149  max=  162  (us, n=20)
14343                                             min=  146  p50=  147  p95=  167  avg=  149  max=  167  (us, n=20)
