loaded dump dir: ../../../src/Benchmark/RegressionCases/perf  (1402 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
1242                                              min=   71  p50=   71  p95=   81  avg=   71  max=   81  (us, n=20)
1243                                              min=   64  p50=   64  p95=   69  avg=   64  max=   69  (us, n=20)
1244                                              min=   72  p50=   73  p95=   73  avg=   72  max=   73  (us, n=20)
1245                                              min=   73  p50=   73  p95=   78  avg=   73  max=   78  (us, n=20)
1246                                              min=   71  p50=   72  p95=   74  avg=   72  max=   74  (us, n=20)
1247                                              min=   75  p50=   75  p95=   78  avg=   75  max=   78  (us, n=20)
1248                                              min=   73  p50=   73  p95=   86  avg=   74  max=   86  (us, n=20)
13226                                             min=  140  p50=  142  p95=  153  avg=  143  max=  153  (us, n=20)
13227                                             min=  140  p50=  142  p95=  153  avg=  143  max=  153  (us, n=20)
13228                                             min=  140  p50=  142  p95=  149  avg=  142  max=  149  (us, n=20)
13229                                             min=  140  p50=  142  p95=  150  avg=  143  max=  150  (us, n=20)
13230                                             min=  140  p50=  142  p95=  149  avg=  142  max=  149  (us, n=20)
13231                                             min=  140  p50=  142  p95=  168  avg=  143  max=  168  (us, n=20)
13232                                             min=  140  p50=  142  p95=  153  avg=  143  max=  153  (us, n=20)
13233                                             min=  140  p50=  142  p95=  182  avg=  145  max=  182  (us, n=20)
13234                                             min=  140  p50=  142  p95=  147  avg=  142  max=  147  (us, n=20)
13235                                             min=  140  p50=  142  p95=  157  avg=  144  max=  157  (us, n=20)
13236                                             min=  140  p50=  141  p95=  146  avg=  142  max=  146  (us, n=20)
13237                                             min=  140  p50=  142  p95=  148  avg=  142  max=  148  (us, n=20)
1356                                              min=   63  p50=   64  p95=   65  avg=   63  max=   65  (us, n=20)
1357                                              min=   64  p50=   65  p95=   65  avg=   64  max=   65  (us, n=20)
1358                                              min=   68  p50=   69  p95=   71  avg=   68  max=   71  (us, n=20)
1360                                              min=   65  p50=   65  p95=   68  avg=   65  max=   68  (us, n=20)
14336                                             min=  140  p50=  141  p95=  152  avg=  142  max=  152  (us, n=20)
14337                                             min=  140  p50=  142  p95=  152  avg=  142  max=  152  (us, n=20)
14338                                             min=  139  p50=  141  p95=  154  avg=  142  max=  154  (us, n=20)
14339                                             min=  139  p50=  141  p95=  152  avg=  143  max=  152  (us, n=20)
14340                                             min=  139  p50=  141  p95=  176  avg=  143  max=  176  (us, n=20)
14341                                             min=  139  p50=  141  p95=  152  avg=  142  max=  152  (us, n=20)
14342                                             min=  139  p50=  141  p95=  169  avg=  143  max=  169  (us, n=20)
14343                                             min=  139  p50=  141  p95=  152  avg=  142  max=  152  (us, n=20)
14344                                             min=  139  p50=  141  p95=  240  avg=  153  max=  240  (us, n=20)
14345                                             min=  139  p50=  141  p95=  148  avg=  142  max=  148  (us, n=20)
149                                               min=  768  p50=  770  p95=  782  avg=  770  max=  782  (us, n=20)
150                                               min=  787  p50=  796  p95=  955  avg=  816  max=  955  (us, n=20)
15360                                             min=  140  p50=  142  p95=  154  avg=  143  max=  154  (us, n=20)
15361                                             min=  140  p50=  142  p95=  154  avg=  143  max=  154  (us, n=20)
15362                                             min=  140  p50=  142  p95=  149  avg=  143  max=  149  (us, n=20)
15363                                             min=  140  p50=  142  p95=  150  avg=  142  max=  150  (us, n=20)
15364                                             min=  140  p50=  142  p95=  156  avg=  143  max=  156  (us, n=20)
15365                                             min=  140  p50=  141  p95=  153  avg=  142  max=  153  (us, n=20)
15366                                             min=  140  p50=  142  p95=  146  avg=  141  max=  146  (us, n=20)
15367                                             min=  140  p50=  142  p95=  155  avg=  143  max=  155  (us, n=20)
15368                                             min=  140  p50=  142  p95=  156  avg=  143  max=  156  (us, n=20)
15369                                             min=  141  p50=  142  p95=  153  avg=  143  max=  153  (us, n=20)
156                                               min=  890  p50=  924  p95= 1091  avg=  946  max= 1091  (us, n=20)
1621                                              min=   72  p50=   73  p95=   77  avg=   73  max=   77  (us, n=20)
16468                                             min=  140  p50=  142  p95=  152  avg=  143  max=  152  (us, n=20)
16469                                             min=  140  p50=  142  p95=  148  avg=  142  max=  148  (us, n=20)
16470                                             min=  140  p50=  142  p95=  144  avg=  141  max=  144  (us, n=20)
16471                                             min=  140  p50=  142  p95=  174  avg=  144  max=  174  (us, n=20)
16472                                             min=  140  p50=  141  p95=  144  avg=  141  max=  144  (us, n=20)
16473                                             min=  141  p50=  142  p95=  144  avg=  141  max=  144  (us, n=20)
16474                                             min=  140  p50=  141  p95=  158  avg=  142  max=  158  (us, n=20)
16475                                             min=  140  p50=  141  p95=  148  avg=  141  max=  148  (us, n=20)
16476                                             min=  140  p50=  142  p95=  147  avg=  142  max=  147  (us, n=20)
16477                                             min=  140  p50=  141  p95=  144  avg=  141  max=  144  (us, n=20)
16478                                             min=  140  p50=  141  p95=  151  avg=  142  max=  151  (us, n=20)
16479                                             min=  140  p50=  142  p95=  143  avg=  141  max=  143  (us, n=20)
1648                                              min=   58  p50=   59  p95=   66  avg=   58  max=   66  (us, n=20)
1659                                              min=   73  p50=   73  p95=   76  avg=   73  max=   76  (us, n=20)
1664                                              min=   72  p50=   73  p95=   75  avg=   73  max=   75  (us, n=20)
1690                                              min=   73  p50=   73  p95=   75  avg=   73  max=   75  (us, n=20)
1693                                              min=   64  p50=   65  p95=   84  avg=   66  max=   84  (us, n=20)
17326                                             min=  140  p50=  141  p95=  145  avg=  141  max=  145  (us, n=20)
17327                                             min=  140  p50=  141  p95=  142  avg=  140  max=  142  (us, n=20)
17328                                             min=  140  p50=  141  p95=  143  avg=  140  max=  143  (us, n=20)
17329                                             min=  140  p50=  141  p95=  222  avg=  146  max=  222  (us, n=20)
17330                                             min=  140  p50=  141  p95=  144  avg=  141  max=  144  (us, n=20)
17331                                             min=  140  p50=  141  p95=  143  avg=  141  max=  143  (us, n=20)
