loaded dump dir: ../../../src/Benchmark/RegressionCases/coverage  (803 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
30676                                             min= 2914  p50= 2978  p95= 3196  avg= 3006  max= 3196  (us, n=20)
30680                                             min= 2859  p50= 2931  p95= 3264  avg= 2961  max= 3264  (us, n=20)
30681                                             min= 2824  p50= 3077  p95= 3378  avg= 3099  max= 3378  (us, n=20)
30682                                             min=67484  p50=68561  p95=72455  avg=68794  max=72455  (us, n=20)
30683                                             min= 4986  p50= 5130  p95= 5745  avg= 5135  max= 5745  (us, n=20)
307                                               min=30699  p50=31458  p95=36317  avg=31898  max=36317  (us, n=20)
308                                               min= 1176  p50= 1226  p95= 1344  avg= 1226  max= 1344  (us, n=20)
31                                                min= 5227  p50= 5587  p95= 5873  avg= 5565  max= 5873  (us, n=20)
310                                               min=30808  p50=31932  p95=34737  avg=32134  max=34737  (us, n=20)
311                                               min=30757  p50=31256  p95=33262  avg=31494  max=33262  (us, n=20)
312                                               min=30550  p50=31179  p95=32797  avg=31352  max=32797  (us, n=20)
313                                               min= 1160  p50= 1205  p95= 1445  avg= 1217  max= 1445  (us, n=20)
314                                               min= 1173  p50= 1217  p95= 1299  avg= 1225  max= 1299  (us, n=20)
315                                               min=30835  p50=31668  p95=37329  avg=32209  max=37329  (us, n=20)
316                                               min= 1166  p50= 1191  p95= 1317  avg= 1203  max= 1317  (us, n=20)
318                                               min=30744  p50=32207  p95=34447  avg=32254  max=34447  (us, n=20)
319                                               min= 1179  p50= 1226  p95= 1515  avg= 1241  max= 1515  (us, n=20)
32                                                min= 4284  p50= 4466  p95= 4928  avg= 4492  max= 4928  (us, n=20)
321                                               min=31115  p50=32691  p95=34972  avg=32668  max=34972  (us, n=20)
322                                               min= 2038  p50= 2116  p95= 2631  avg= 2160  max= 2631  (us, n=20)
323                                               min= 2062  p50= 2220  p95= 2494  avg= 2218  max= 2494  (us, n=20)
324                                               min=  853  p50=  868  p95= 1293  avg=  929  max= 1293  (us, n=20)
325                                               min=  676  p50=  685  p95=  956  avg=  730  max=  956  (us, n=20)
326                                               min= 5133  p50= 5334  p95= 6050  avg= 5436  max= 6050  (us, n=20)
327                                               min= 5097  p50= 5218  p95= 5803  avg= 5272  max= 5803  (us, n=20)
328                                               min= 2007  p50= 2025  p95= 2428  avg= 2068  max= 2428  (us, n=20)
329                                               min= 2050  p50= 2072  p95= 2185  avg= 2079  max= 2185  (us, n=20)
33                                                min= 1053  p50= 1066  p95= 1385  avg= 1118  max= 1385  (us, n=20)
330                                               min=  842  p50=  849  p95= 1073  avg=  866  max= 1073  (us, n=20)
331                                               min= 2036  p50= 2045  p95= 2572  avg= 2079  max= 2572  (us, n=20)
332                                               min= 6488  p50= 6653  p95= 7424  avg= 6798  max= 7424  (us, n=20)
333                                               min= 5161  p50= 5255  p95= 6010  avg= 5308  max= 6010  (us, n=20)
334                                               min= 2005  p50= 2017  p95= 2294  avg= 2031  max= 2294  (us, n=20)
335                                               min= 2061  p50= 2066  p95= 2118  avg= 2074  max= 2118  (us, n=20)
336                                               min=  850  p50=  853  p95=  944  avg=  860  max=  944  (us, n=20)
337                                               min=  672  p50=  677  p95=  727  avg=  680  max=  727  (us, n=20)
338                                               min= 5107  p50= 5246  p95= 5585  avg= 5266  max= 5585  (us, n=20)
339                                               min= 1997  p50= 2011  p95= 2303  avg= 2030  max= 2303  (us, n=20)
34                                                min= 1666  p50= 1676  p95= 1949  avg= 1699  max= 1949  (us, n=20)
340                                               min= 2052  p50= 2065  p95= 2114  avg= 2070  max= 2114  (us, n=20)
343                                               min= 5129  p50= 5255  p95= 5653  avg= 5267  max= 5653  (us, n=20)
344                                               min= 2015  p50= 2021  p95= 2399  avg= 2052  max= 2399  (us, n=20)
348                                               min= 5101  p50= 5298  p95= 5816  avg= 5371  max= 5816  (us, n=20)
35                                                min= 4956  p50= 5071  p95= 5887  avg= 5161  max= 5887  (us, n=20)
350                                               min= 2930  p50= 2982  p95= 4081  avg= 3106  max= 4081  (us, n=20)
351                                               min= 2292  p50= 2330  p95= 2829  avg= 2352  max= 2829  (us, n=20)
352                                               min= 1055  p50= 1188  p95= 1494  avg= 1190  max= 1494  (us, n=20)
354                                               min= 1759  p50= 1889  p95= 2356  avg= 1914  max= 2356  (us, n=20)
355                                               min= 1754  p50= 1770  p95= 2071  avg= 1783  max= 2071  (us, n=20)
356                                               min= 8315  p50= 9293  p95=12439  avg= 9509  max=12439  (us, n=20)
357                                               min= 1815  p50= 1858  p95= 1910  avg= 1858  max= 1910  (us, n=20)
358                                               min= 5099  p50= 5197  p95= 6062  avg= 5353  max= 6062  (us, n=20)
359                                               min= 1759  p50= 1778  p95= 2065  avg= 1808  max= 2065  (us, n=20)
36                                                min=  155  p50=  156  p95=  160  avg=  156  max=  160  (us, n=20)
360                                               min= 1749  p50= 1752  p95= 1774  avg= 1754  max= 1774  (us, n=20)
36054                                             min= 6908  p50= 7047  p95= 7516  avg= 7093  max= 7516  (us, n=20)
361                                               min= 1766  p50= 1784  p95= 3151  avg= 1925  max= 3151  (us, n=20)
362                                               min= 1778  p50= 1793  p95= 1926  avg= 1802  max= 1926  (us, n=20)
363                                               min= 7436  p50= 8015  p95= 8876  avg= 8044  max= 8876  (us, n=20)
364                                               min= 1750  p50= 1764  p95= 1852  avg= 1769  max= 1852  (us, n=20)
365                                               min= 7751  p50= 8430  p95= 9443  avg= 8474  max= 9443  (us, n=20)
366                                               min= 8195  p50= 8616  p95=10254  avg= 8703  max=10254  (us, n=20)
367                                               min= 2346  p50= 2601  p95= 3264  avg= 2640  max= 3264  (us, n=20)
368                                               min= 3013  p50= 3268  p95= 3655  avg= 3300  max= 3655  (us, n=20)
369                                               min=63136  p50=66787  p95=73036  avg=66748  max=73036  (us, n=20)
37                                                min=  937  p50=  979  p95= 1150  avg=  982  max= 1150  (us, n=20)
370                                               min=28487  p50=29776  p95=33123  avg=30314  max=33123  (us, n=20)
371                                               min=28626  p50=30898  p95=35614  avg=30955  max=35614  (us, n=20)
372                                               min=30779  p50=32246  p95=34167  avg=32432  max=34167  (us, n=20)
37209                                             min= 4109  p50= 4222  p95= 4612  avg= 4297  max= 4612  (us, n=20)
